set,modelo,n_feat,balanceo,AUC,AUC_s,Recall,Rec_s,Prec,F1,F1_s,Acc,Umbral,CP
S01_solo_parcial,DT,1,none,0.827,0.074,0.751,0.098,0.539,0.624,0.023,0.774,0.5,CP1
S07_smote,DT,5,smote,0.807,0.08,0.741,0.081,0.56,0.624,0.066,0.763,0.37,CP1
S07_smoteenn,DT,5,smoteenn,0.808,0.064,0.749,0.153,0.561,0.623,0.034,0.788,0.37,CP1
S11_smoteenn,DT,7,smoteenn,0.808,0.065,0.727,0.17,0.574,0.613,0.046,0.783,0.72,CP1
S05_eng_log,DT,3,none,0.785,0.088,0.683,0.069,0.565,0.611,0.117,0.771,0.3,CP1
S04_eng_total,DT,3,none,0.785,0.088,0.683,0.069,0.565,0.611,0.117,0.771,0.3,CP1
S09_eng_completo,DT,7,none,0.783,0.068,0.682,0.108,0.569,0.608,0.045,0.787,0.18,CP1
S08_smoteenn,DT,6,smoteenn,0.795,0.081,0.783,0.126,0.523,0.606,0.071,0.754,0.56,CP1
S02_parcial_era,DT,2,none,0.81,0.075,0.783,0.144,0.503,0.605,0.046,0.754,0.35,CP1
S11_completo,DT,7,none,0.786,0.084,0.648,0.165,0.612,0.604,0.047,0.793,0.55,CP1
S08_base_est,DT,6,none,0.773,0.07,0.682,0.108,0.562,0.603,0.046,0.783,0.2,CP1
S07_eng_cobertura,DT,5,none,0.778,0.068,0.672,0.108,0.567,0.603,0.048,0.786,0.2,CP1
S03_parcial_relativo,DT,3,none,0.792,0.074,0.704,0.172,0.578,0.6,0.063,0.762,0.28,CP1
S11_smote,DT,7,smote,0.797,0.078,0.733,0.169,0.528,0.596,0.065,0.769,0.37,CP1
S06_eng_calidad,DT,4,none,0.758,0.094,0.645,0.105,0.567,0.592,0.09,0.771,0.32,CP1
S10_derivadas,DT,6,none,0.784,0.076,0.734,0.131,0.512,0.592,0.05,0.756,0.36,CP1
S08_smote,DT,6,smote,0.745,0.105,0.694,0.223,0.505,0.554,0.075,0.722,0.43,CP1
S05_eng_log,LR,3,none,0.844,0.068,0.732,0.161,0.637,0.666,0.054,0.824,0.35,CP1
S06_eng_calidad,LR,4,none,0.84,0.073,0.75,0.124,0.608,0.664,0.067,0.814,0.31,CP1
S04_eng_total,LR,3,none,0.842,0.069,0.717,0.13,0.632,0.661,0.062,0.821,0.34,CP1
S02_parcial_era,LR,2,none,0.843,0.06,0.705,0.175,0.635,0.641,0.024,0.808,0.35,CP1
S01_solo_parcial,LR,1,none,0.843,0.06,0.756,0.11,0.565,0.639,0.035,0.794,0.3,CP1
S11_completo,LR,7,none,0.843,0.06,0.743,0.182,0.602,0.637,0.019,0.799,0.29,CP1
S08_smoteenn,LR,6,smoteenn,0.843,0.06,0.757,0.16,0.583,0.637,0.024,0.792,0.59,CP1
S10_derivadas,LR,6,none,0.843,0.06,0.743,0.182,0.602,0.637,0.019,0.799,0.29,CP1
S03_parcial_relativo,LR,3,none,0.843,0.06,0.71,0.166,0.614,0.635,0.019,0.804,0.31,CP1
S09_eng_completo,LR,7,none,0.843,0.06,0.661,0.11,0.637,0.635,0.017,0.817,0.29,CP1
S08_base_est,LR,6,none,0.843,0.06,0.661,0.11,0.637,0.635,0.017,0.817,0.29,CP1
S07_eng_cobertura,LR,5,none,0.843,0.06,0.661,0.11,0.637,0.635,0.017,0.817,0.29,CP1
S11_smote,LR,7,smote,0.843,0.06,0.708,0.159,0.608,0.634,0.036,0.806,0.53,CP1
S07_smoteenn,LR,5,smoteenn,0.843,0.06,0.675,0.156,0.626,0.632,0.037,0.81,0.6,CP1
S11_smoteenn,LR,7,smoteenn,0.843,0.06,0.747,0.13,0.562,0.63,0.032,0.792,0.59,CP1
S08_smote,LR,6,smote,0.843,0.06,0.727,0.169,0.582,0.629,0.035,0.793,0.52,CP1
S07_smote,LR,5,smote,0.843,0.06,0.696,0.181,0.612,0.627,0.033,0.803,0.53,CP1
S05_eng_log,RF,3,none,0.834,0.064,0.717,0.108,0.635,0.665,0.048,0.823,0.39,CP1
S04_eng_total,RF,3,none,0.834,0.064,0.717,0.108,0.635,0.665,0.048,0.823,0.39,CP1
S11_smote,RF,7,smote,0.833,0.066,0.774,0.132,0.591,0.661,0.049,0.811,0.52,CP1
S02_parcial_era,RF,2,none,0.83,0.068,0.764,0.057,0.571,0.652,0.061,0.798,0.32,CP1
S10_derivadas,RF,6,none,0.831,0.073,0.712,0.094,0.613,0.651,0.043,0.816,0.54,CP1
S09_eng_completo,RF,7,none,0.825,0.089,0.744,0.105,0.585,0.651,0.054,0.805,0.33,CP1
S11_smoteenn,RF,7,smoteenn,0.807,0.079,0.753,0.147,0.595,0.651,0.044,0.809,0.77,CP1
S08_smoteenn,RF,6,smoteenn,0.797,0.085,0.742,0.121,0.597,0.65,0.055,0.808,0.67,CP1
S08_base_est,RF,6,none,0.816,0.094,0.767,0.102,0.572,0.648,0.049,0.796,0.3,CP1
S06_eng_calidad,RF,4,none,0.822,0.086,0.721,0.122,0.607,0.647,0.045,0.806,0.34,CP1
S11_completo,RF,7,none,0.824,0.081,0.758,0.117,0.583,0.646,0.043,0.801,0.51,CP1
S03_parcial_relativo,RF,3,none,0.837,0.061,0.712,0.162,0.625,0.645,0.024,0.814,0.37,CP1
S01_solo_parcial,RF,1,none,0.84,0.065,0.712,0.162,0.626,0.644,0.028,0.813,0.54,CP1
S07_eng_cobertura,RF,5,none,0.826,0.085,0.76,0.116,0.574,0.643,0.046,0.794,0.3,CP1
S07_smote,RF,5,smote,0.794,0.099,0.744,0.156,0.565,0.624,0.103,0.77,0.45,CP1
S08_smote,RF,6,smote,0.8,0.088,0.771,0.142,0.545,0.623,0.073,0.774,0.46,CP1
S07_smoteenn,RF,5,smoteenn,0.789,0.083,0.727,0.134,0.566,0.62,0.058,0.788,0.62,CP1
S07_eng_cobertura,XGB,5,none,0.829,0.066,0.788,0.086,0.568,0.658,0.038,0.799,0.59,CP1
