set,modelo,n_feat,balanceo,AUC,AUC_s,Recall,Rec_s,Prec,F1,F1_s,Acc,Umbral,CP
S07_smote,DT,10,smote,0.906,0.049,0.853,0.082,0.688,0.749,0.075,0.859,0.42,CP2
S01_dos_parciales,DT,3,none,0.913,0.034,0.762,0.137,0.744,0.747,0.084,0.878,0.44,CP2
S08_eng_evol,DT,4,none,0.911,0.038,0.822,0.07,0.681,0.736,0.09,0.856,0.39,CP2
S07_base_est,DT,10,none,0.911,0.03,0.871,0.088,0.66,0.735,0.08,0.845,0.48,CP2
S10_eng_ambos,DT,8,none,0.909,0.045,0.822,0.07,0.679,0.734,0.094,0.854,0.4,CP2
S09_eng_p2_det,DT,8,none,0.904,0.056,0.822,0.07,0.677,0.732,0.098,0.852,0.4,CP2
S03_academico,DT,5,none,0.905,0.033,0.877,0.087,0.639,0.73,0.062,0.848,0.48,CP2
S05_acad_tendencia,DT,5,none,0.884,0.045,0.83,0.129,0.672,0.73,0.074,0.857,0.36,CP2
S12_completo,DT,12,none,0.894,0.043,0.842,0.115,0.668,0.724,0.072,0.844,0.49,CP2
S11_smote,DT,8,smote,0.902,0.047,0.782,0.111,0.693,0.719,0.068,0.854,0.58,CP2
S12_smoteenn,DT,12,smoteenn,0.857,0.047,0.802,0.109,0.659,0.703,0.097,0.835,0.29,CP2
S02_ams,DT,4,none,0.885,0.055,0.761,0.142,0.668,0.703,0.091,0.853,0.53,CP2
S04_tendencia,DT,3,none,0.887,0.062,0.729,0.18,0.696,0.698,0.099,0.859,0.46,CP2
S12_smote,DT,12,smote,0.842,0.073,0.768,0.095,0.655,0.697,0.115,0.835,0.36,CP2
S05_smote,DT,5,smote,0.823,0.08,0.767,0.128,0.648,0.694,0.094,0.843,0.38,CP2
S06_eng_p1,DT,5,none,0.88,0.044,0.835,0.154,0.618,0.694,0.065,0.824,0.54,CP2
S11_tendencia_deriv,DT,8,none,0.885,0.047,0.885,0.1,0.581,0.692,0.054,0.812,0.42,CP2
S07_smoteenn,DT,10,smoteenn,0.861,0.073,0.769,0.242,0.661,0.673,0.136,0.834,0.56,CP2
S11_smoteenn,DT,8,smoteenn,0.866,0.03,0.932,0.083,0.536,0.672,0.083,0.786,0.34,CP2
S05_smoteenn,DT,5,smoteenn,0.815,0.071,0.757,0.049,0.587,0.65,0.109,0.805,0.41,CP2
S05_smote,LR,5,smote,0.968,0.015,0.886,0.025,0.818,0.848,0.055,0.927,0.54,CP2
S05_acad_tendencia,LR,5,none,0.967,0.015,0.867,0.02,0.824,0.842,0.065,0.926,0.38,CP2
S05_smoteenn,LR,5,smoteenn,0.958,0.017,0.918,0.02,0.732,0.81,0.084,0.903,0.57,CP2
S07_smoteenn,LR,10,smoteenn,0.95,0.024,0.88,0.063,0.746,0.804,0.062,0.9,0.63,CP2
S07_base_est,LR,10,none,0.948,0.024,0.855,0.071,0.759,0.8,0.064,0.9,0.36,CP2
S02_ams,LR,4,none,0.948,0.024,0.855,0.071,0.759,0.8,0.064,0.9,0.36,CP2
S03_academico,LR,5,none,0.956,0.019,0.88,0.115,0.744,0.8,0.076,0.901,0.34,CP2
S12_smoteenn,LR,12,smoteenn,0.946,0.018,0.893,0.066,0.724,0.799,0.053,0.894,0.63,CP2
S12_completo,LR,12,none,0.95,0.02,0.868,0.045,0.744,0.799,0.069,0.898,0.36,CP2
S07_smote,LR,10,smote,0.947,0.026,0.865,0.08,0.742,0.794,0.065,0.894,0.54,CP2
S12_smote,LR,12,smote,0.945,0.022,0.859,0.094,0.743,0.793,0.061,0.894,0.55,CP2
