var,Tipo,AUC,r_b,p_val,cohens_d,RF_Perm_Imp,CP1,CP2,Recomendación
parcial_1,Académica,0.8101935328765476,0.6203870657530953,1.770526607618112e-28,1.242443800578162,0.003960396039603964,✓,✓,INCLUIR
parcial_2,Académica,0.8611869558497759,0.7223739116995518,6.649601396158718e-38,1.5591647484319282,0.0004950495049504955,✗,✓,INCLUIR
parcial_3,Académica,0.8814933113526694,0.7629866227053389,4.727840015603846e-42,1.6612795014948305,0.0,✗,✓,INCLUIR
promedio_ams,Académica,0.728075146394656,0.45615029278931185,2.906820252369929e-16,0.9144265623501423,0.0,✗,✓,INCLUIR
promedio_quices,Académica,0.8209606986899565,0.6419213973799127,1.0078888338635917e-20,1.3634105917509742,0.0,✗,✓,INCLUIR
nota_100,Target (Validación),1.0,1.0,9.971111693700186e-71,2.412386560617815,0.2900990099009902,✗,✓,INCLUIR
engagement_hasta_p1,Engagement,0.6019182409543404,0.20383648190868098,0.0002774644654131182,0.2813888962141343,0.0,✓,✓,INCLUIR
parcial_1_modulos_unicos,Engagement,0.6013363260386141,0.2026726520772284,0.0002713406792927976,0.368441112921871,0.0,✓,✓,INCLUIR
parcial_1_visitas,Engagement,0.5749423280753165,0.14988465615063284,0.005557789010684022,0.21983874844880014,0.0,✗,✓,INCLUIR
parcial_1_temas_unicos,Engagement,0.5670449113618887,0.13408982272377745,0.011444996737281296,0.25149234693307354,0.0,✗,✓,INCLUIR
parcial_1_visitas_por_tema,Engagement,0.5650393831701893,0.13007876634037863,0.013781623872338984,0.07849616493626753,0.0,✓,✓,INCLUIR
parcial_1_tiempo_por_visita,Engagement,0.5622648959827088,0.12452979196541758,0.017461789849524397,0.1711467926207803,0.0,✓,✓,INCLUIR
era_encoded,Control,,,,,0.0,✓,✓,INCLUIR como control
actividades_n_realizadas,Engagement,0.4727954776897978,-0.05440904462040441,0.8297009818500672,-0.09871086383143313,0.0,✗,✗,EXCLUIR
actividades_tiempo_total,Engagement,0.49764116632375255,-0.004717667352494903,0.5322572993494148,0.05196456268158241,0.0,✗,✗,EXCLUIR
actividades_visitas_total,Engagement,0.4646590602074111,-0.0706818795851778,0.8863052809830125,-0.14597180590700043,0.0,✗,✗,EXCLUIR
